Pathway	GO-term
ALADEG-PWY	GO:0016491
ALADEG-PWY	GO:0008718
ALADEG-PWY	GO:0005737
ALADEG-PWY	GO:0016020
ALADEG-PWY	GO:0005886
ALADEG-PWY	GO:0055114
ALADEG-PWY	GO:0019478
ALADEG-PWY	GO:0019480
ALADEG-PWY	GO:0055130
ALADEG-PWY	GO:0016853
ALADEG-PWY	GO:0003824
ALADEG-PWY	GO:0042803
ALADEG-PWY	GO:0030170
ALADEG-PWY	GO:0008784
ALADEG-PWY	GO:0005829
ALADEG-PWY	GO:0071555
ALADEG-PWY	GO:0006522
ALADEG-PWY	GO:0009252
ALADEG-PWY	GO:0008360
ALADEG-PWY	GO:0030632
ALADEG-PWY	GO:0047804
ALADEG-PWY	GO:0016829
ALADEG-PWY	GO:0042802
ALADEG-PWY	GO:0080146
ALADEG-PWY	GO:0004121
ALADEG-PWY	GO:0032991
ALADEG-PWY	GO:0006790
ALADEG-PWY	GO:0019346
ALADEG-PWY	GO:0006520
ALADEG-PWY	GO:0008652
ALADEG-PWY	GO:0051289
ALADEG-PWY	GO:0019450
ALADEG-PWY	GO:0009086
ALADEG-PWY	GO:0140297
ALADEG-PWY	GO:0005515
ALADEG-PWY	GO:0009058
ALADEG-PWY	GO:0043433
ALANINE-DEG3-PWY	GO:0016740
ALANINE-DEG3-PWY	GO:0008483
ALANINE-DEG3-PWY	GO:0005829
ALANINE-DEG3-PWY	GO:0009058
ALANINE-DEG3-PWY	GO:0016847
ALANINE-DEG3-PWY	GO:0004021
ALANINE-DEG3-PWY	GO:0006520
ALANINE-SYN2-PWY	GO:0016740
ALANINE-SYN2-PWY	GO:0003824
ALANINE-SYN2-PWY	GO:0008483
ALANINE-SYN2-PWY	GO:0042803
ALANINE-SYN2-PWY	GO:0030170
ALANINE-SYN2-PWY	GO:0004021
ALANINE-SYN2-PWY	GO:0005737
ALANINE-SYN2-PWY	GO:0005829
ALANINE-SYN2-PWY	GO:0009058
ALANINE-SYN2-PWY	GO:0006523
ALANINE-SYN2-PWY	GO:0030632
ALANINE-SYN2-PWY	GO:0006974
ALANINE-SYN2-PWY	GO:0046677
ALANINE-SYN2-PWY	GO:0019272
ALANINE-SYN2-PWY	GO:0016847
ALANINE-SYN2-PWY	GO:0006520
ALANINE-VALINESYN-PWY	GO:0003824
ALANINE-VALINESYN-PWY	GO:0016740
ALANINE-VALINESYN-PWY	GO:0030170
ALANINE-VALINESYN-PWY	GO:0009042
ALANINE-VALINESYN-PWY	GO:0008483
ALANINE-VALINESYN-PWY	GO:0005737
ALANINE-VALINESYN-PWY	GO:0005829
ALANINE-VALINESYN-PWY	GO:1901605
ALANINE-VALINESYN-PWY	GO:0009058
ALANINE-VALINESYN-PWY	GO:0030632
ALANINE-VALINESYN-PWY	GO:0042852
ALANINE-VALINESYN-PWY	GO:0009099
ALANINE-VALINESYN-PWY	GO:0052656
ALANINE-VALINESYN-PWY	GO:0052655
ALANINE-VALINESYN-PWY	GO:0052654
ALANINE-VALINESYN-PWY	GO:0042802
ALANINE-VALINESYN-PWY	GO:0004084
ALANINE-VALINESYN-PWY	GO:0009082
ALANINE-VALINESYN-PWY	GO:0009081
ALANINE-VALINESYN-PWY	GO:0008652
ALANINE-VALINESYN-PWY	GO:0009097
ALANINE-VALINESYN-PWY	GO:0006532
ALANINE-VALINESYN-PWY	GO:0009098
ALKANEMONOX-PWY	GO:0016491
ALKANEMONOX-PWY	GO:0052873
ALKANEMONOX-PWY	GO:0005515
ALKANEMONOX-PWY	GO:0042803
ALKANEMONOX-PWY	GO:0008752
ALKANEMONOX-PWY	GO:1990202
ALKANEMONOX-PWY	GO:0005829
ALKANEMONOX-PWY	GO:0006974
ALKANEMONOX-PWY	GO:0055114
ALKANEMONOX-PWY	GO:0046306
ALKANEMONOX-PWY	GO:0009970
ALKANEMONOX-PWY	GO:0016705
ALKANEMONOX-PWY	GO:0004497
ALKANEMONOX-PWY	GO:0042802
ALKANEMONOX-PWY	GO:0008726
ALKANEMONOX-PWY	GO:1990201
ALKANEMONOX-PWY	GO:0051289
ALKANEMONOX-PWY	GO:0009408
ALL-CHORISMATE-PWY	GO:0000287
ALL-CHORISMATE-PWY	GO:0016740
ALL-CHORISMATE-PWY	GO:0046820
ALL-CHORISMATE-PWY	GO:0005737
ALL-CHORISMATE-PWY	GO:0005829
ALL-CHORISMATE-PWY	GO:0008153
ALL-CHORISMATE-PWY	GO:0009396
ALL-CHORISMATE-PWY	GO:0009058
ALL-CHORISMATE-PWY	GO:0046654
ALL-CHORISMATE-PWY	GO:0046656
ALL-CHORISMATE-PWY	GO:0016829
ALL-CHORISMATE-PWY	GO:0016757
ALL-CHORISMATE-PWY	GO:0003824
ALL-CHORISMATE-PWY	GO:0004048
ALL-CHORISMATE-PWY	GO:0004049
ALL-CHORISMATE-PWY	GO:0002047
ALL-CHORISMATE-PWY	GO:0009073
ALL-CHORISMATE-PWY	GO:0008652
ALL-CHORISMATE-PWY	GO:0008152
ALL-CHORISMATE-PWY	GO:0006541
ALL-CHORISMATE-PWY	GO:0000162
ALL-CHORISMATE-PWY	GO:0046872
ALL-CHORISMATE-PWY	GO:0008897
ALL-CHORISMATE-PWY	GO:0006631
ALL-CHORISMATE-PWY	GO:0006629
ALL-CHORISMATE-PWY	GO:0018070
ALL-CHORISMATE-PWY	GO:0006633
ALL-CHORISMATE-PWY	GO:0016301
ALL-CHORISMATE-PWY	GO:0005524
ALL-CHORISMATE-PWY	GO:0000166
ALL-CHORISMATE-PWY	GO:0004765
ALL-CHORISMATE-PWY	GO:0019632
ALL-CHORISMATE-PWY	GO:0016310
ALL-CHORISMATE-PWY	GO:0046677
ALL-CHORISMATE-PWY	GO:0009423
ALL-CHORISMATE-PWY	GO:0042802
ALL-CHORISMATE-PWY	GO:0003849
ALL-CHORISMATE-PWY	GO:0004834
ALL-CHORISMATE-PWY	GO:0006568
ALL-CHORISMATE-PWY	GO:0042803
ALL-CHORISMATE-PWY	GO:0003855
ALL-CHORISMATE-PWY	GO:0046279
ALL-CHORISMATE-PWY	GO:0004659
ALL-CHORISMATE-PWY	GO:0005515
ALL-CHORISMATE-PWY	GO:0004337
ALL-CHORISMATE-PWY	GO:0004161
ALL-CHORISMATE-PWY	GO:0008299
ALL-CHORISMATE-PWY	GO:0033384
ALL-CHORISMATE-PWY	GO:0045337
ALL-CHORISMATE-PWY	GO:0008813
ALL-CHORISMATE-PWY	GO:0042866
ALL-CHORISMATE-PWY	GO:0006744
ALL-CHORISMATE-PWY	GO:0047527
ALL-CHORISMATE-PWY	GO:0016874
ALL-CHORISMATE-PWY	GO:0016746
ALL-CHORISMATE-PWY	GO:0008668
ALL-CHORISMATE-PWY	GO:0016020
ALL-CHORISMATE-PWY	GO:0019290
ALL-CHORISMATE-PWY	GO:0009239
ALL-CHORISMATE-PWY	GO:0050661
ALL-CHORISMATE-PWY	GO:0016491
ALL-CHORISMATE-PWY	GO:0004764
ALL-CHORISMATE-PWY	GO:0055114
ALL-CHORISMATE-PWY	GO:0033587
ALL-CHORISMATE-PWY	GO:0010181
ALL-CHORISMATE-PWY	GO:0004107
ALL-CHORISMATE-PWY	GO:0016405
ALL-CHORISMATE-PWY	GO:0008756
ALL-CHORISMATE-PWY	GO:0032991
ALL-CHORISMATE-PWY	GO:0009234
ALL-CHORISMATE-PWY	GO:0004146
ALL-CHORISMATE-PWY	GO:0071172
ALL-CHORISMATE-PWY	GO:0006730
ALL-CHORISMATE-PWY	GO:0009257
ALL-CHORISMATE-PWY	GO:0008667
ALL-CHORISMATE-PWY	GO:0019878
ALL-CHORISMATE-PWY	GO:0008483
ALL-CHORISMATE-PWY	GO:0052656
ALL-CHORISMATE-PWY	GO:0052655
ALL-CHORISMATE-PWY	GO:0052654
ALL-CHORISMATE-PWY	GO:0004084
ALL-CHORISMATE-PWY	GO:0009082
ALL-CHORISMATE-PWY	GO:0009081
ALL-CHORISMATE-PWY	GO:0009097
ALL-CHORISMATE-PWY	GO:0006532
ALL-CHORISMATE-PWY	GO:0009098
ALL-CHORISMATE-PWY	GO:0009099
ALL-CHORISMATE-PWY	GO:0004156
ALL-CHORISMATE-PWY	GO:0044237
ALL-CHORISMATE-PWY	GO:0042558
ALL-CHORISMATE-PWY	GO:0042493
ALL-CHORISMATE-PWY	GO:0016765
ALL-CHORISMATE-PWY	GO:0003866
ALL-CHORISMATE-PWY	GO:0046428
ALL-CHORISMATE-PWY	GO:0005887
ALL-CHORISMATE-PWY	GO:0016021
ALL-CHORISMATE-PWY	GO:0005886
ALL-CHORISMATE-PWY	GO:0032194
ALL-CHORISMATE-PWY	GO:0042371
ALL-CHORISMATE-PWY	GO:0016780
ALL-CHORISMATE-PWY	GO:0031226
ALL-CHORISMATE-PWY	GO:0009366
ALL-CHORISMATE-PWY	GO:0009237
ALL-CHORISMATE-PWY	GO:0016787
ALL-CHORISMATE-PWY	GO:0008828
ALL-CHORISMATE-PWY	GO:0019177
ALL-CHORISMATE-PWY	GO:0016790
ALL-CHORISMATE-PWY	GO:0016289
ALL-CHORISMATE-PWY	GO:0061522
ALL-CHORISMATE-PWY	GO:0071890
ALL-CHORISMATE-PWY	GO:0008935
ALL-CHORISMATE-PWY	GO:0030170
ALL-CHORISMATE-PWY	GO:0008696
ALL-CHORISMATE-PWY	GO:0070205
ALL-CHORISMATE-PWY	GO:0016853
ALL-CHORISMATE-PWY	GO:0008270
ALL-CHORISMATE-PWY	GO:0004452
ALL-CHORISMATE-PWY	GO:0050992
ALL-CHORISMATE-PWY	GO:0006974
ALL-CHORISMATE-PWY	GO:0004664
ALL-CHORISMATE-PWY	GO:0004106
ALL-CHORISMATE-PWY	GO:0046417
ALL-CHORISMATE-PWY	GO:0006571
ALL-CHORISMATE-PWY	GO:0009094
ALL-CHORISMATE-PWY	GO:0004150
ALL-CHORISMATE-PWY	GO:0006760
ALL-CHORISMATE-PWY	GO:0016831
ALL-CHORISMATE-PWY	GO:0004425
ALL-CHORISMATE-PWY	GO:0004640
ALL-CHORISMATE-PWY	GO:0030145
ALL-CHORISMATE-PWY	GO:0070204
ALL-CHORISMATE-PWY	GO:0030976
ALL-CHORISMATE-PWY	GO:0019142
ALL-CHORISMATE-PWY	GO:0016094
ALL-CHORISMATE-PWY	GO:0004838
ALL-CHORISMATE-PWY	GO:0004069
ALL-CHORISMATE-PWY	GO:0006520
ALL-CHORISMATE-PWY	GO:0033585
ALL-CHORISMATE-PWY	GO:0080130
ALL-CHORISMATE-PWY	GO:0008793
ALL-CHORISMATE-PWY	GO:0050048
ALL-CHORISMATE-PWY	GO:0019292
ALL-CHORISMATE-PWY	GO:0005525
ALL-CHORISMATE-PWY	GO:0003934
ALL-CHORISMATE-PWY	GO:0006729
ALL-CHORISMATE-PWY	GO:0035998
ALL-CHORISMATE-PWY	GO:0008616
ALL-CHORISMATE-PWY	GO:0043748
ALL-CHORISMATE-PWY	GO:0016836
ALL-CHORISMATE-PWY	GO:0016838
ALL-CHORISMATE-PWY	GO:0070403
ALL-CHORISMATE-PWY	GO:0003856
ALL-CHORISMATE-PWY	GO:0008909
ALL-CHORISMATE-PWY	GO:0120233
ALL-CHORISMATE-PWY	GO:0008694
ALL-CHORISMATE-PWY	GO:0034214
ALL-CHORISMATE-PWY	GO:0032150
ALL-CHORISMATE-PWY	GO:0008841
ALL-CHORISMATE-PWY	GO:0004326
ALL-CHORISMATE-PWY	GO:0046901
ALL-CHORISMATE-PWY	GO:0006761
ALL-CHORISMATE-PWY	GO:0031177
ALL-CHORISMATE-PWY	GO:0008908
ALL-CHORISMATE-PWY	GO:0047293
ALL-CHORISMATE-PWY	GO:0002083
ALL-CHORISMATE-PWY	GO:0008412
ALL-CHORISMATE-PWY	GO:0016779
ALL-CHORISMATE-PWY	GO:0016788
ALL-CHORISMATE-PWY	GO:0044550
ALL-CHORISMATE-PWY	GO:0043041
ALL-CHORISMATE-PWY	GO:0061542
ALL-CHORISMATE-PWY	GO:0008168
ALL-CHORISMATE-PWY	GO:0008425
ALL-CHORISMATE-PWY	GO:0008689
ALL-CHORISMATE-PWY	GO:0099119
ALL-CHORISMATE-PWY	GO:1901611
ALL-CHORISMATE-PWY	GO:0043431
ALL-CHORISMATE-PWY	GO:0110142
ALL-CHORISMATE-PWY	GO:0009898
ALL-CHORISMATE-PWY	GO:0032259
ALL-CHORISMATE-PWY	GO:0042538
ALL-CHORISMATE-PWY	GO:0070402
ALL-CHORISMATE-PWY	GO:0070401
ALL-CHORISMATE-PWY	GO:0051871
ALL-CHORISMATE-PWY	GO:0051870
ALL-CHORISMATE-PWY	GO:0005542
ALL-CHORISMATE-PWY	GO:0046655
ALL-CHORISMATE-PWY	GO:0046452
ALL-CHORISMATE-PWY	GO:0006545
ALL-CHORISMATE-PWY	GO:0031427
ALL-CHORISMATE-PWY	GO:0004665
ALL-CHORISMATE-PWY	GO:0008977
ALL-CHORISMATE-PWY	GO:0071949
ALL-CHORISMATE-PWY	GO:0050660
ALL-CHORISMATE-PWY	GO:0016709
ALL-CHORISMATE-PWY	GO:0004497
ALL-CHORISMATE-PWY	GO:0008681
ALL-CHORISMATE-PWY	GO:0009416
ALL-CHORISMATE-PWY	GO:0006979
ALL-CHORISMATE-PWY	GO:0008682
ALL-CHORISMATE-PWY	GO:0016705
ALL-CHORISMATE-PWY	GO:0019168
ALL-CHORISMATE-PWY	GO:0102094
ALL-CHORISMATE-PWY	GO:0102027
ALL-CHORISMATE-PWY	GO:0043770
ALL-CHORISMATE-PWY	GO:0102955
ALL-CHORISMATE-PWY	GO:0030580
ALL-CHORISMATE-PWY	GO:0043333
ALL-CHORISMATE-PWY	GO:0009060
ALLANTOINDEG-PWY	GO:0016020
AMMASSIM-PWY	GO:0016491
AMMASSIM-PWY	GO:0051539
AMMASSIM-PWY	GO:0051536
AMMASSIM-PWY	GO:0046872
AMMASSIM-PWY	GO:0005515
AMMASSIM-PWY	GO:0004354
AMMASSIM-PWY	GO:0004355
AMMASSIM-PWY	GO:0005829
AMMASSIM-PWY	GO:0008652
AMMASSIM-PWY	GO:0097054
