#PathwayID	Number
PWY0-1479	3.1.13.5
PWY-7058	2.4.1.126
NONMEVIPP-PWY	1.17.7.3
PWY-4261	1.1.5.3
PWY-6952	1.1.5.3
PWY-6118	1.1.5.3
PWY-6976	1.17.1
PWY-7790	3.5.2.3
PWY-7791	3.5.2.3
PWY-5686	3.5.2.3
PWY-7836	2.4.99.4
PWY-4841	2.7.7.44
PWY-7460	2.3.1
PWY-7800	2.3.1.254
PWY-7376	2.1.1.130
PWY-641	1.17.1.3
PWY-6481	1.14.18.1
PWY-7917	1.14.18.1
PWY-5774	2.4.1
PWY-5292	3.2.1.105
PWY-5301	3.2.1.105
PWY-5109	1.1.1.178
ILEUDEG-PWY	1.1.1.178
PWY-8174	1.2.1.25
LEU-DEG2-PWY	1.2.1.25
PWY-7601	1.14.19.30
PWY-5353	1.14.19.30
PWY-6538	1.14.13.178
PWY0-1565	1.1.5.12
PWY-7425	1.1.5.12
UDPNACETYLGALSYN-PWY	2.7.7.23
PWY0-1261	2.7.7.23
PWY-5514	2.7.7.23
UDPNAGSYN-PWY	2.7.7.23
PWY490-4	6.1.1.23
PWY-7645	4.2.2.1
PWY-7300	1.14.19.21
PWY0-1517	2.7.1
PWY-7065	1.14.13.147
PWY-7564	2.1.2
PWY-3061	1.3.1.82
TRIGLSYN-PWY	2.7.1.174
PWY-7900	2.4.1.342
PWY0-1337	4.2.1.17
PWY-6084	1.13.11.M6
PWY-5386	1.1.5.12
PWY-6826	2.7.8.24
PWY-7842	2.6.1.92
PWY-7467	2.6.1.92
PWY-7800	3.4.11.18
PWY-5876	1.14.19.51
PWY-6829	2.1.1.225
PWY-8132	4.1.2.62
PWY-6961	1.11.1.11
PWY-6960	1.11.1.11
PWY-6436	4.2.3.16
PWY-3041	4.2.3.16
PWY-6445	4.2.3.16
PWY-3061	4.2.3.16
PWY-5928	4.2.3.16
PWY-5423	4.2.3.16
PWY-6269	3.5.1.90
PWY-7972	3.5.1.90
PWY-7396	1.4.3.3
PWY-7396	1.4.3.19
PWY-5526	1.3.7.15
PWY-5630	2.3.1.164
SUCSYN-PWY	2.4.1.14
PWY-7347	2.4.1.14
PWY-7238	2.4.1.14
PWY-7261	2.3.1
PWY-7695	1.1.1
PWY-782	1.14.19.35
PWY-2582	1.1
PWY-7171	2.3.1
PWY-381	1.7.1.1
PWY-8100	2.1.1
PWY5F9-3233	1.3.1
PWY-6733	1.2.1.84
P105-PWY	4.1.1.71
PWY-7569	2.1.1
PWY-6088	1.3.1
PWY-6558	2.8.2.30
PWY-7754	1.1.1.395
P105-PWY	1.1.1.42
PWY-6969	1.1.1.42
PWY-7254	1.1.1.42
PWY-5913	1.1.1.42
PWY-6728	1.1.1.42
TCA	1.1.1.42
P23-PWY	1.1.1.42
PWY-7268	1.1.1.42
PWY-7124	1.1.1.42
PWY-6549	1.1.1.42
FERMENTATION-PWY	1.1.1.42
REDCITCYC	1.1.1.42
PWY-7387	2.6.1.77
PWY-7754	2.8.3.25
PWY-6310	2.3.1
PWY-7758	2.5.1.bl
GALACTITOLCAT-PWY	4.1.2.40
LACTOSECAT-PWY	4.1.2.40
PWY-7077	4.1.2.40
PWY-7395	4.1.2.40
PWY-8175	1.2.1.25
VALDEG-PWY	1.2.1.25
PWY-7275	4.2.1
PWY-7698	3.7.1.23
PWY0-1591	1.11.1
PWY0-1590	1.11.1
PWY-7953	5.1.1.23
PWY-5331	1.8.1.3
PWY-7850	1.8.1.3
PWY-5129	1.14.18.7
PWY-6258	4.2.3
PWY-3162	1.2.1
PWY-7210	2.7.4.12
PWY-7210	2.7.4.13
PWY-7210	2.7.4.9
PWY-7197	2.7.4.12
PWY-7197	2.7.4.13
PWY-7197	2.7.4.9
PWY-7198	2.7.4.12
PWY-7198	2.7.4.13
PWY-7198	2.7.4.9
PWY-7184	2.7.4.12
PWY-7184	2.7.4.13
PWY-7184	2.7.4.9
PWY-6545	2.7.4.12
PWY-6545	2.7.4.13
PWY-6545	2.7.4.9
PWY0-166	2.7.4.12
PWY0-166	2.7.4.13
PWY0-166	2.7.4.9
PWY-7187	2.7.4.12
PWY-7187	2.7.4.13
PWY-7187	2.7.4.9
PWY-6094	3.1.1.45
PWY-5893	2.5.1
PWY-5292	2.1.1.99
PWY-7379	2.1.1.296
PWY-6989	1.14.13.160
P601-PWY	1.14.13.160
PWY-7035	1.1.1.330
PWY-6433	1.1.1.330
PWY-8081	2.4.1.M53
PWY-5321	2.4.1
PWY-7431	4.2.1.87
PWY66-241	1.1
PWY-7637	1.14.13
PWY-7074	3.2.1
PWY-7572	2.5.1
PWY-3162	1.1.1
PWY-6103	1.3.1.119
PWY-7396	2.3.3.7
PWY-7008	1.13.11.39
PWY5F9-12	1.13.11.39
PWY-7485	2.1.1
P3-PWY	2.3.1
PWY-7762	4.2.1.165
PWY-8030	1.14.19.64
PWY-5287	1.14.19.64
PWY66-398	1.1.1.286
PWY66-398	1.1.1.41
PWY-5690	1.1.1.286
PWY-5690	1.1.1.41
PWY-6549	1.1.1.286
PWY-6549	1.1.1.41
PWY-7642	1.14.14
PWY-7913	1.14.18.1
PWY0-41	1.1.1.350
PWY-7081	3.5.4
PWY-5917	5.2.1
PWY-7578	5.2.1
PWY-5676	1.1.1.36
PWY-5741	1.1.1.36
PWY-7216	1.1.1.36
PWY1-3	1.1.1.36
PWY-8138	3.6.1.11
PWY-7854	6.2.1.56
PWY-7513	1.14.19.69
SUCROSEUTIL2-PWY	3.2.1
PWY-5710	2.1.1.104
PWY-6432	2.1.1.104
PWY-1121	2.1.1.104
PWY-361	2.1.1.104
PWY-7398	2.1.1.104
PWY-7498	2.1.1.104
PWY-6792	2.1.1.104
PWY-6039	2.1.1.104
PWY-7805	3.6.1.63
PWY-5922	1.1.98
PWY-7656	2.3.1.155
PWY-7654	2.3.1.155
PWY-8036	2.1.1
PWY0-1261	5.4.2.10
UDPNAGSYN-PWY	5.4.2.10
PWY-6749	5.4.2.10
RHAMCAT-PWY	4.1.2.19
PWY-7765	2.1.1.M26
PWY-7080	1.21.3.5
PWY-7708	1.14.19
PWY-8084	2.5.1
PWY-7160	2.1.1.267
PWY-7498	2.1.1.267
PWY-5391	2.1.1.267
PWY-6574	6.3.2
PWY-7970	2.7.8.26
PWY66-4	5.3.3.5
PWY66-341	5.3.3.5
PWY-7825	1.17.3.4
PWY-7647	3.2.1
PWY-7680	1.14.14.61
PWY-6806	1.13.11
PWY-7085	4.1.2
PWY-7585	2.3.1
PWY-7128	1.14.13.163
PWY-6993	1.14.13.163
PWY-6854	1.16.1.7
PWY-5934	1.16.1.7
PWY-5882	1.1.1
PWY-5867	1.1.1
PCPDEG-PWY	1.8.5.7
PWY-6128	4.2.3.67
PWY-8200	1.1.1.213
PWY-5632	2.3.1.175
PWY-7620	4.1.1
PWY-6704	1.1.1.366
CYCLOHEXANOL-OXIDATION-PWY	1.1.1.258
PWY3O-4106	2.7.1.22
PWY-8152	1.1.1.35
PWY-6944	1.1.1.35
PWY-7711	2.3.1
PWY-6926	1.2.1
PWY-5398	2.4.1.271
PWY-6577	2.7.4.32
PWY-7188	2.4.1.360
PCPDEG-PWY	1.14.13.50
PWY-7969	3.1.3.73
P162-PWY	1.1.1.399
PWY-8190	1.1.1.399
PWY-7650	6.3.2
PWY-7968	3.1.3.73
PWY-8200	1.1.1.145
PWY-7299	1.1.1.145
PWY-6958	2.3.1.23
PWY-3961	4.3.3
PWY-7855	1.2.1.M5
PWY-6140	2.7.7.92
PWY-6752	1.10.3.1
PWY-7816	2.7.8.45
PWY-5926	2.4.1
PWY-6899	3.5.99.2
PWY-6324	1.13.12.17
PWY-6710	1.14.13
PWY-8041	4.2.1.134
TRYPANOSYN-PWY	6.3.1.9
PWY-6143	2.5.1.97
PWY-7770	1.3.1
PWY-8009	2.7.1.226
PWY-6079	1.14.12.1
PWY-5648	1.14.12.1
PWY-7290	2.4.1.308
PWY-5406	1.13.11.58
PWY-5408	1.13.11.58
PWY-5407	1.13.11.58
SUCSYN-PWY	5.3.1.9
PWY-6992	5.3.1.9
ANAGLYCOLYSIS-PWY	5.3.1.9
GLYCOLYSIS	5.3.1.9
PWY-7385	5.3.1.9
PWY-8013	5.3.1.9
P341-PWY	5.3.1.9
UDPNACETYLGALSYN-PWY	5.3.1.9
PWY-6981	5.3.1.9
PWY-6142	5.3.1.9
GLUCONEO-PWY	5.3.1.9
PWY-622	5.3.1.9
PWY66-399	5.3.1.9
PWY-5384	5.3.1.9
PWY-7238	5.3.1.9
PWY-3801	5.3.1.9
PWY-5054	5.3.1.9
RUMP-PWY	5.3.1.9
P122-PWY	5.3.1.9
PWY-5659	5.3.1.9
P124-PWY	5.3.1.9
UDPNAGSYN-PWY	5.3.1.9
PWY-621	5.3.1.9
PWY-5514	5.3.1.9
PWY-7347	5.3.1.9
PWY66-388	1.2.1.3
PWY-8013	2.6.1.16
UDPNACETYLGALSYN-PWY	2.6.1.16
UDPNAGSYN-PWY	2.6.1.16
PWY-6749	2.6.1.16
PWY-6279	1.3.99
PWY-5070	1.14.11
PWY-7000	2.4.1.284
P124-PWY	4.1.2.22
PWY-6462	2.3.2.16
PWY-5132	6.2.1.1
PWY-1341	3.1.2.25
PWY-7498	2.1.1
PWY-7816	2.7.8.M1
PWY-361	2.3.1.133
PWY-6039	2.3.1.133
PWY-6040	2.3.1.133
PWY-5176	2.4.1.114
PWY-7409	2.3.1.23
PWY-6720	4.3.2
PWY-6518	1.1.1.159
PWY-5744	1.2.1.75
PWY-5743	1.2.1.75
PWY-5789	1.2.1.75
PWY-7711	4.2.3.6
PWY-7719	2.5.1
PWY-6036	2.4.1
PWY-5412	4.2.3.32
PWY-5751	4.1.1.53
PWY-6318	4.1.1.53
PWY-6713	1.1.1.173
PWY-6714	1.1.1.173
PWY-7655	1.3.1
PWY-741	1.1.1.M33
PWY0-321	1.14.13.149
PWY-6781	3.1.1.42
PWY-7510	6.3.2
PWY-7818	2.7.8
PWY-6219	6.3
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.141
PWY-6919	1.14.11
PWY-7412	2.4.1
PWY-6337	1.21.3
PWY-6771	3.2.1.172
PWY-5318	1.1.1.236
PWY-5292	1.14.14.103
PWY-7722	4.2.1.162
PWY-7480	1.2.1.85
PWY-7006	1.2.1.85
PWY-5419	1.2.1.85
PWY-6336	1.2.1.85
PWY-6642	4.4.1.24
PWY-6616	4.4.1.24
PWY-8013	5.4.2.13
PWY-5669	4.1.1.65
PWY66-397	1.13.11.34
PWY-7656	2.3.1
PWY-5168	1.2.1
PWY-7599	1.1.99
PWY-4181	1.11.1.17
PWY-7000	1.1.3
PWY-4	2.7.1.44
PWY-6471	3.4.16.4
PWY-7803	4.6.1.16
PWY-6689	4.6.1.16
PWY-5955	1.1.1.353
PWY-7185	3.6.1.15
PWY-7819	2.4.1
PWY-5154	2.7.2.8
ARGSYNBSUB-PWY	2.7.2.8
GLUTORN-PWY	2.7.2.8
PWY-8125	2.7.4.26
PWY-7524	2.7.4.26
PWY-6174	2.7.4.26
PWY-7776	1.8.1.5
PWY-5756	2.4.1
PWY-7726	1.3.3.6
PWY-6627	2.5.1.94
PWY-7138	2.3.1.285
PWY-7982	1.17.9.2
PWY66-375	4.4.1.20
PWY-7660	3.1.1
PWY-5175	1.14.99
PWY18C3-5	3.2.1
PWY-7726	1.1.1.330
PWY-7728	1.1.1.330
PWY-695	1.13.11.51
PWY-6082	1.1.1.132
PWY-6073	1.1.1.132
PWY-6482	2.5.1.108
PWY-7546	2.5.1.108
PWY-5087	4.1.3.22
PWY-6946	1.1.1.35
PWY-6945	1.1.1.35
PWY-7420	2.7.1.174
PWY-8044	6.2.1.M35
PWY-6192	1.14.12.26
PWY-5941	3.2.1.3
PWY-7298	1.14.11
PWY-5733	4.2.3.60
PWY-8077	3.1.3.74
PWY-7204	3.1.3.74
PWY-7282	2.7.1.35
PWY-7204	2.7.1.35
PLPSAL-PWY	2.7.1.35
PWY-7664	5.3.3.14
PWY18C3-8	2.3.1
PWY-7119	3.1.4
PWY-7606	4.2.1.134
PWY-699	5.3.3.1
PWY-2582	5.3.3.1
PWY-8004	1.1.1.49
GLYCOLYSIS-E-D	1.1.1.49
RUMP-PWY	1.1.1.49
P122-PWY	1.1.1.49
OXIDATIVEPENT-PWY	1.1.1.49
PWY-7268	1.1.1.49
PWY-6495	1.5.1.46
PWY-116	3.2.1.126
PWY-2343	2.3.1.115
PWY-5975	2.1.1
PWY-6936	2.5.1.47
PWY-6749	2.3.1
PWY-7824	2.4.1.354
PWY-6610	3.5.4.2
PWY-81	1.1.1
PWY-7431	1.2.1.53
PWY-7300	1.1.99
P164-PWY	1.17.99.M4
PWY-5428	1.1.1.90
TRPSYN-PWY	5.3.1.24
PWY-7735	2.7.7
PWY-6168	2.5.1.78
PWY-6167	2.5.1.78
RIBOSYN2-PWY	2.5.1.78
PWY-5203	1.14.14.134
PWY18C3-16	2.3.1
PWY18C3-15	2.3.1
PWY-6361	2.7.1.151
PWY-6554	2.7.1.151
PWY-7426	2.4.1.38
PWY-2221	1.1.1.119
PWY-2221	1.1.1.360
NPGLUCAT-PWY	1.1.1.119
NPGLUCAT-PWY	1.1.1.360
PWY-7607	1.14.14
PWY-7523	1.2.1
PWY-2161B	3.4.19.9
PWY-5982	1.2.1.73
PWY-8151	1.3.99
PWY-6946	1.3.99
PWY-6945	1.3.99
PWY-6948	1.3.99
PWY-8166	1.13.12
PWY-6766	1
PWY1A0-6325	1.14.14
PWY1ZNC-1	2.7.1.25
PWY-5340	2.7.1.25
HOMOCYSDEGR-PWY	4.4.1.1
PWY-801	4.4.1.1
PWY-7193	2.7.1.48
PWY-8111	3.5.1.ap
TRNA-CHARGING-PWY	6.1.1.15
PWY-7739	2.1.1
PWY-5321	2.4.1
LYXMET-PWY	5.1.3
PWY-5267	3.2.1.147
PWY18C3-21	2.4.1
PWY-7033	1.2.1
PWY-5885	1.2.1
PWY-7921	2.4.1
TRNA-CHARGING-PWY	6.1.1.17
PWY-5188	6.1.1.17
PWY0-1241	2.7.1.167
4TOLCARBDEG-PWY	1.2.1
PWY-7531	3.1.3
PWY-2501	1.13.11.al
PWY-4981	3.5.3
PWY-6827	3.2.1.179
PWY-8051	2.7.8.2
PWY-8053	2.7.8.2
THREONINE-DEG2-PWY	2.3.1.29
PWY-6219	6.3
PWY-5788	6.3
ALANINE-VALINESYN-PWY	2.6.1.66
P321-PWY	1.3.1.62
PWY-8069	3.1.7.11
PWY-5290	3.1.7.11
PWY-5829	3.1.7.11
PWY-282	1.2.1
PWY66-374	1.14.99.1
PWY-7989	6.3.2
PWY-7212	1.14.13
PWY-7893	3.5.1.119
PWY-5271	1.1.1
PWY-8147	1.8.4.16
PWY1A0-6325	1.3.1
PWY-6239	2.4.1
PWY-8146	1.8.4.16
PWY-4801	2.3.1
PWY-6223	5.2.1.4
PWY-7044	5.2.1.4
PWY-6105	1.3.1.97
PWY-8147	1.8.4.16
PWY0-1600	1.8.4.16
PWY-7614	4.4.1.4
PWY-7874	2.7.1.217
PWY-7181	3.5.4.5
PWY-7199	3.5.4.5
PWY-2582	1.1.99.M1
PWY-5992	1.14.19
PWY-7838	2.4.1.88
PWY-6948	6.2.1
PWY-6786	1.3.1
PWY-7437	2.4.1.255
PWY-5806	2.5.1.91
PWY-5872	2.5.1.91
PWY-5462	1.2.1.49
PWY-6217	1.14.12
PWY-6655	2.5.1.95
PWY-8023	2.4.1.369
PWY-6019	2.7.1.83
PWY-7742	1.1.1.M10
PWY-5287	1.14.14
PWY-6809	5.3.99.9
PWY-695	5.3.99.9
PHOSLIPSYN2-PWY	2.7.8.29
PWY-7506	2.7.8.29
PWY-6273	2.7.8.29
PWY-1501	1.1.99.31
PWY-5706	4.1.1
LIPA-CORESYN-PWY	2.7.1
PWY-7036	4.2.1.134
PWY-2681	1.14.14
PWY-7092	3.2.1.21
PWY-6002	3.2.1.21
PWY-7433	2.4.99.4
PWY-6971	2.4.1
PWY-8182	1.3.8.5
DARABITOLUTIL-PWY	1.1.1.11
PWY-6378	6.3.2
PWY-8051	3.1.1.4
PWY-7440	5.1.3
PWY-6660	3.1.2.32
PWY-5822	1.21.1
PWY-8099	1.5.1.34
PWY-7325	1.14.14
PWY-6223	3.7.1.20
PWY-7044	3.7.1.20
PWYQT-4471	1.14.13.237
PWY-7654	4.2.1.17
PWY-7677	1.14.13
PWY-5277	2.8.1.3
PWY-5320	2.4.1.91
PWY-7168	2.4.1.91
PWY-7143	2.4.1.91
PWY-5348	2.4.1.91
PWY-7150	1.14.11
PWY-5031	1.1.1.27
PWY-5209	3.5.4.27
PWY-7932	1.14.19.M18
PWY-8045	2.1.4.1
PWY-7693	2.1.4.1
GLYCGREAT-PWY	2.1.4.1
PWY-7615	1.14.14
PWY-7572	1.14.14
PWY-6015	2.4.1
PWY-8181	4.2.1.17
PWY-6385	2.7.8
PWY0-44	2.7.1.55
PWY-7136	5.4.4.4
PWY-7334	1.1.1
PWY-8187	1.5.1.2
PWY-3341	1.5.1.2
PROSYN-PWY	1.5.1.2
ARG-PRO-PWY	1.5.1.2
PWY-782	1.14.19.42
PWYG-321	3.1.3.12
PWY-102	1.14.20
PWY-8179	4.1.2.56
PWY-7153	4.1.2.56
PWY-5037	3.2.2.25
PWY-5039	3.2.2.25
PWY-5038	3.2.2.25
TRNA-CHARGING-PWY	6.1.1.10
PWY-7932	1.14.19.M18
PWY0-1303	2.5.1
PWY-2762	1.14.14.135
PWY0-1507	2.6.1.62
PWY66-392	1.13.11.34
VALDEG-PWY	2.6.1.22
PWY-7783	3.1.4.39
PWY-6529	1.97.1.1
PWY-7853	3.1.4.56
PWY-6797	3.1.4.56
PWY-5469	1
PWY-6258	4.2.3.70
P141-PWY	3.8.1.8
PWY-5731	3.8.1.8
PWY-7740	3.1.2.M2
PWY-1187	3.4.13.23
PWY-6482	2.1.1.98
PWY-5319	1.3
PWY-7154	1.3.1
PWY-5047	1.14.14
PWY-7571	4.2.1.18
LEU-DEG2-PWY	4.2.1.18
PWY-7935	1.14.19.M18
PWY-7224	2.7.4.13
PWY-7224	2.7.4.12
PWY-7615	1.1.1
PWY-6536	1.2.1.16
PWY-6821	3.2.1.83
PWY-7045	2.4.1
PWY-2861	2.4.1.170
PWY-6051	2.4.1
PWY-5265	3.4.16.4
PWY-7378	1.1.1.75
PWY-7445	1.11.1.7
PWY-7789	2.7.1.215
PWY0-1314	2.7.1.56
PWY-7340	5.3.3.8
PWY-5476	1.10.3
PWY-6261	2.8.2.1
PWY-3661	1.5.3.1
CRNFORCAT-PWY	1.5.3.1
PWY-4722	1.5.3.1
PWY-7682	1.13.11
PWY-5336	1.8.1
PWY-1187	3.4.19.16
PWY-7157	2.4.1
PWY-5059	1.14.11.9
ADENOSYLHOMOCYSCAT-PWY	2.1.1.10
PWY-5441	2.1.1.10
PWY-7940	2.3.1.M48
PPGPPMET-PWY	2.7.6.5
PWY-8039	2.1.1.316
PWY0-1337	5.3.3.8
PWY-7292	5.3.3.8
PWY-2881	2.4.1
PWY-6044	1.14.13.111
PWY-7179-1	2.4.2.1
PWY-7179	2.4.2.1
PWY-6401	1.11.2
PWY-6077	1.14.13.40
PWY-7671	2.1.1.304
PWY-6995	1.3.99.8
PWY-6997	1.3.99.8
PWY-6807	3.2.1.23
PWY-5487	1.14.13.167
PWY-6670	6.2.1
P181-PWY	3.7.1.19
PWY-622	2.4.1.18
PWY-7687	1.14.13
PWY-7160	2.1.1
PWY-5067	2.4.1.18
PWY-6664	5.5.1.4
PWY1G-0	5.5.1.4
PWY-6580	5.5.1.4
PWY-6372	5.5.1.4
PWY-2301	5.5.1.4
PWY-4661	5.5.1.4
PWY-6147	3.6.1.67
PWY0-1569	2.7.1.189
PWY-7552	4.1.3
PWY-6968	1.14.13.148
PWY-7771	3.8.1.3
12DICHLORETHDEG-PWY	3.8.1.3
PWY-6405	3.1.3.80
PWY-7832	2.4.99.2
PWY-6061	1.1.1
PWY-6834	4.1.1.19
PWY-43	4.1.1.19
PWY-40	4.1.1.19
PWY0-1299	4.1.1.19
ARGDEG-III-PWY	4.1.1.19
PWY0-823	4.1.1.19
PWY-7449	2.3.1.213
PWY-6823	4.6.1.17
PWY-5872	2.1.1.201
PWY-5857	2.1.1.201
PWY-6708	2.1.1.222
PWY-5936	2.4.1.168
PWY-7352	2.1.1.288
PWY-7354	2.1.1.288
PWY-8122	2.4.1.M64
PWY-6280	1.3.99.40
PWY-2541	1.1.1.418
PWY-8026	1.1.1.417
PWY-7295	4.1.2.18
P241-PWY	1.1.1
PWY-7751	6.3.4
PWY-7995	1.14.14.M29
PWY-6117	2.3.1.57
PWY-6990	1.1.1.198
PWY-782	1.14.19.35
PWY-7161	2.1.1
PWY-6871	1.1.1.1
PWY-5076	1.1.1.1
PWY-6075	5.3.3.5
PWY-7511	2.3.2.24
PWY-723	1.7.1.4
PWY-5675	1.7.1.4
PWY-6973	1.1.1
PWY-6036	2.4.1.M58
PWY-5659	2.7.7.13
PWY-5872	1.14.13.M81
PWY-3581	2.1.1.116
PWY-6821	3.1.6
PWY-7354	2.4.1.327
PWY-7136	1.2.1.86
PWY-6678	1.2.1.86
PWY-8029	1.17.99.8
PWY-6061	4.2.1.107
P281-PWY	1.3.1
PWY-8135	3.5.1.24
PWY-7999	1.6.5.2
PWY-5519	1.1.1
PWY-7336	1.1.1.136
PWY-7090	1.1.1.136
PWY-7525	1.14.19.71
PWY-7690	4.1.1
PWY-762	1.14.19.25
PWY-6525	2.4.1
PWY-7168	2.3.1
PEPTIDOGLYCANSYN-PWY	2.4.1.227
SPHINGOLIPID-SYN-PWY	2.7.1.228
LYSINE-AMINOAD-PWY	4.2.1.36
P241-PWY	4.2.1.36
PWY-3081	4.2.1.36
PWY-7630	1.14.19
PWY-5094	2.4.1
PWY0-321	5.3.3.18
PWY-7058	2.1.1
PWY-7561	1.14.14
PWY-3041	4.2.3.119
PWY-6445	4.2.3.119
PWY-5423	4.2.3.119
PWY-6413	3.2.1.193
PWY-7840	2.4.99.9
PWY-8058	3.1.1
PWY-6061	1.1.1.213
PWY-6794	2.7.7.51
PWY-7117	2.6.1.1
PWY-7115	2.6.1.1
ASPARTATE-DEG1-PWY	2.6.1.1
ASPARAGINE-DEG1-PWY-1	2.6.1.1
PWY-7383	2.6.1.1
ASPARTATESYN-PWY	2.6.1.1
GLUTDEG-PWY	2.6.1.1
MALATE-ASPARTATE-SHUTTLE-PWY	2.6.1.1
PWY-7462	6.2.1
PWY-7800	2.3.1.258
PWY-7800	2.3.1.256
PWY-7376	2.1.1.133
PWY-735	1.3.3.6
PWY-6679	2.3.1
PWY-8031	1.14.19
PWY-7773	1.14.14.27
PWY-5774	2.4.1
PWY-5526	4.2.1.165
PWY-5081	1.1.1.190
PWY-7255	1.14.99.50
PWY-7602	1.14.19.30
PWY-6958	1.14.19.30
PWY-6138	2.7.1.60
PWY0-1324	2.7.1.60
PWY4FS-11	1.1.1
PWY-7905	2.4.1.349
PWY-5103	2.6.1
PWY-7066	1.14.19
PWY-7564	2.7.6
PWY-3061	1.3.1.81
PWY-6168	4.1.99.12
PWY-6167	4.1.99.12
RIBOSYN2-PWY	4.1.99.12
PWY-7841	2.4.1.275
PWY0-1337	4.2.1.17
PWY-6083	1.14.12.26
PWY-8193	2.7.8.6
PWY-8198	2.7.8.6
PWY-8197	2.7.8.6
PWY-8196	2.7.8.6
PWY-8195	2.7.8.6
PWY-8192	2.7.8.6
PWY-8133	2.7.8.6
PWY-7478	1.14.14.70
PWY-7383	4.1.1.32
PWY-6307	1.2.1.3
PWY-5032	4.2.3.19
P421-PWY	1.2.1.29
PWY-5672	2.4.1
PWY-7256	2.4.1.300
PWY-7695	1.1.1
PWY-782	1.14.19.35
PWY-6544	1.14.14
PWY-7171	2.3.1
DENITRIFICATION-PWY	1.7.2.5
PWY-7084	1.7.2.5
PWY-6733	1.2.1.84
PWY-5296	3.1.6.20
PWY-4502	2.5.1
PWY-7570	2.1.1
PWY-6129	2.7.1.108
PWY-1501	1.2.1.7
PWY-7374	3.5.4.40
PWY-8101	1.20.4.4
PWY-6260	1.21.99.3
P3-PWY	1.3.1.57
PWY-7760	2.1.1.333
PWY-7759	2.1.1.333
PWY-7317	1.1.1.266
PWY-7275	2.6.1.58
PWY-7698	1.14.13.M67
PWY-7954	3.4.11
PWY66-221	1.14.14.1
TRPSYN-PWY	4.1.1.48
PWY-5748	1.14.99
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.131
PWY-7206	3.6.1.23
PWY-7206	3.6.1.9
PWY-7184	3.6.1.23
PWY-7184	3.6.1.9
PWY-6545	3.6.1.23
PWY-6545	3.6.1.9
PWY0-166	3.6.1.23
PWY0-166	3.6.1.9
PWY-7187	3.6.1.23
PWY-7187	3.6.1.9
2ASDEG-PWY	1.14.12.14
PWY-6837	5.3.3.21
P562-PWY	2.7.1.92
P621-PWY	2.6.1.116
PWY-8003	1.2.1.67
PWY-5658	2.4.1.269
TEICHOICACID-PWY	2.7.8.12
PWY-8125	1.1.1.34
PWY-7524	1.1.1.34
PWY-922	1.1.1.34
PWY-7391	1.1.1.34
PWY-6174	1.1.1.34
PWY-7703	1.2.1.96
PWY-8083	2.5.1
PWY-7175	1.14.13
PWY-5189	2.5.1.61
PWY-5188	2.5.1.61
PWY-7959	5.5.1.32
PWY-7807	3.6.1.1
PWY-7805	3.6.1.1
PWY-7638	1.5.3
PWY-5135	2.1.1.338
PWY4FS-2	2.1.1.103
PWY-3385	2.1.1.103
PWY-6986	4.2.2.26
PYRIDOXSYN-PWY	1.1.1.290
PWY-7512	1.14.14.172
PWY-102	1.14.11
PWY-6405	5.4.2.4
PWY-7461	2.3.1.131
PWY-6855	3.5.1.an
PWY-6313	1.4.3.4
PWY-4361	3.1.3.87
PWY-5665	2.1.1
PWY-7356	3.5.99.2
PWY-7138	1.14.19.68
PWY-7507	1.14.19.68
PWY-3901	1.14.19.68
PWY-7706	1.14.11.M2
PWY-7790	2.4.2.10
PWY-7791	2.4.2.10
PWY-5686	2.4.2.10
PWY-5140	1.21.3.8
PWY-5947	1.14.14.158
PWY-7978	1.5.3.21
P181-PWY	1.5.3.21
PWY-8069	1.3.1.122
PWY-5290	1.3.1.122
PWY-6116	2.4.1.246
PWY-7807	3.6.1.63
PWY-5923	1.14.13.107
PWY-6863	1.2.1
PWY-7396	4.1.1.1
PWY-7366	3.1.4
PWY-6117	1.5.3.13
PWY-6117	1.5.3.17
PWY-6185	5.4.99.14
PWY-7818	1.1.1.405
PWY-7815	1.1.1.405
PWY-7816	1.1.1.405
TRNA-CHARGING-PWY	6.1.1.3
PWY-7708	1.14.13
PWY-8083	1.14.14
PWY-1901	2.4.1.286
PWY-6574	6.3.2
PWY-7213	3.2.1.167
PWY-7966	2.7.8.26
GLUCARDEG-PWY	4.1.2.20
GALACTARDEG-PWY	4.1.2.20
PWY-6806	1.13.11
LIPAS-PWY	3.1.1.ad
LIPAS-PWY	3.1.1.79
LIPAS-PWY	3.1.1.34
PWY-1901	1.21.3.6
PWY-6994	1.4.1
PWY-6121	6.3.5.3
PWY-6277	6.3.5.3
PWY-6122	6.3.5.3
PWY-6730	2.1.1.165
TOLUENE-DEG-3-OH-PWY	4.2.1.80
PWY-6129	3.1.4
PWY-3602	1.1.1.108
PWY-7472	1.1.1.108
PWY-7491	2.4.1
PWY-7812	1.14.13.234
PWY-6803	2.3.1.23
PWY-7470	2.3.1.23
PWY-3081	6.3.2.43
PWY-7769	2.7.8.23
PWY-6322	2.7.8.23
PWY-8041	4.2.1.134
6-HYDROXYCINEOLE-DEGRADATION-PWY	1.14.13.51
PWY-5532	4.1.1.39
CALVIN-PWY	4.1.1.39
PWY-5723	4.1.1.39
